"zone_id","zone_vmt_per_capita","COUNTY","zone_pop","zone_vmt","jur_total_pop","jur_total_vmt","jur_total_vmt_capita","threshold_15_below","percent_threshold","cat","cat1"
"Zone 1",38.4243298969072,"PLACER",194,7454.32,8829,226852.52,25.6940219730434,21.84,1.7593557645104,"Over 150% of threshold","Over 150% of threshold"
"Zone 10",16.8642096505824,"CSLT",601,10135.39,23558,361984.22,15.3656600730113,13.06,1.29128710953923,"125-150% of threshold","125-150% of threshold"
"Zone 11",18.6446428571429,"EL DORADO",28,522.05,9968,229275.39,23.0011426565008,19.55,0.953690171720862,"75-100% of threshold","75-100% of threshold"
"Zone 12",14.9187781504552,"CSLT",2087,31135.49,23558,361984.22,15.3656600730113,13.06,1.14232604521096,"100-125% of threshold","100-125% of threshold"
"Zone 13",15.0635814771395,"CSLT",1706,25698.47,23558,361984.22,15.3656600730113,13.06,1.1534135893675,"100-125% of threshold","100-125% of threshold"
"Zone 14",19.9194661354582,"CSLT",1255,24998.93,23558,361984.22,15.3656600730113,13.06,1.52522711603814,"Over 150% of threshold","Over 150% of threshold"
"Zone 15",15.2229559578492,"CSLT",3701,56340.16,23558,361984.22,15.3656600730113,13.06,1.16561684210178,"100-125% of threshold","100-125% of threshold"
"Zone 16",NA,"EL DORADO",0,0,9968,229275.39,23.0011426565008,19.55,NA,NA,NA
"Zone 17",17.0340200546946,"CSLT",1097,18686.32,23558,361984.22,15.3656600730113,13.06,1.30428943757233,"125-150% of threshold","125-150% of threshold"
"Zone 18",NA,"CSLT",0,0,23558,361984.22,15.3656600730113,13.06,NA,NA,NA
"Zone 19",15.4121644498186,"CSLT",827,12745.86,23558,361984.22,15.3656600730113,13.06,1.18010447548381,"100-125% of threshold","100-125% of threshold"
"Zone 2",30.1239449541284,"EL DORADO",436,13134.04,9968,229275.39,23.0011426565008,19.55,1.54086674957179,"Over 150% of threshold","Over 150% of threshold"
"Zone 20",16.7782165605096,"CSLT",2355,39512.7,23558,361984.22,15.3656600730113,13.06,1.2847026462871,"125-150% of threshold","125-150% of threshold"
"Zone 21",14.2945491803279,"CSLT",488,6975.74,9968,229275.39,10.88,9.25,1.54535666814355,"Over 150% of threshold","Over 150% of threshold"
"Zone 22",16.3164984863774,"EL DORADO",1982,32339.3,9968,229275.39,23.0011426565008,19.55,0.834603503139509,"75-100% of threshold","75-100% of threshold"
"Zone 23",13.9850942111237,"CSLT",4405,61604.34,23558,361984.22,15.3656600730113,13.06,1.07083416624225,"100-125% of threshold","100-125% of threshold"
"Zone 24",25.7486756505576,"EL DORADO",2152,55411.15,9968,229275.39,23.0011426565008,19.55,1.31706780821267,"125-150% of threshold","125-150% of threshold"
"Zone 25",20.4745679012346,"EL DORADO",81,1658.44,9968,229275.39,23.0011426565008,19.55,1.04729247576647,"100-125% of threshold","100-125% of threshold"
"Zone 26",88.1833333333333,"EL DORADO",3,264.55,9968,229275.39,23.0011426565008,19.55,4.51065643648764,"Over 150% of threshold","Over 150% of threshold"
"Zone 27",10.1766666666667,"EL DORADO",3,30.53,9968,229275.39,23.0011426565008,19.55,0.520545609548167,"50-75% of threshold","50-75% of threshold"
"Zone 28",23.0877336747759,"EL DORADO",781,18031.52,9968,229275.39,23.0011426565008,19.55,1.18095824423406,"100-125% of threshold","100-125% of threshold"
"Zone 29",NA,"EL DORADO",0,0,9968,229275.39,23.0011426565008,19.55,NA,NA,NA
"Zone 3",31.0278378378378,"EL DORADO",37,1148.03,9968,229275.39,23.0011426565008,19.55,1.5871016796848,"Over 150% of threshold","Over 150% of threshold"
"Zone 30",24.0061970899471,"EL DORADO",1512,36297.37,9968,229275.39,23.0011426565008,19.55,1.22793847007402,"100-125% of threshold","100-125% of threshold"
"Zone 31",NA,"EL DORADO",0,0,9968,229275.39,23.0011426565008,19.55,NA,NA,NA
"Zone 32",19.9228755074425,"EL DORADO",1478,29446.01,9968,229275.39,23.0011426565008,19.55,1.01907291598171,"100-125% of threshold","100-125% of threshold"
"Zone 33",27.1103666921314,"EL DORADO",1309,35487.47,9968,229275.39,23.0011426565008,19.55,1.38671952389419,"125-150% of threshold","125-150% of threshold"
"Zone 34",29.377037037037,"EL DORADO",27,793.18,9968,229275.39,23.0011426565008,19.55,1.50266174102491,"Over 150% of threshold","Over 150% of threshold"
"Zone 35",NA,"EL DORADO",0,0,9968,229275.39,23.0011426565008,19.55,NA,NA,NA
"Zone 36",30.6416666666667,"EL DORADO",18,551.55,9968,229275.39,23.0011426565008,19.55,1.56734867860188,"Over 150% of threshold","Over 150% of threshold"
"Zone 37",44.332985915493,"DOUGLAS",355,15738.21,5495,133428.61,24.281821656051,20.64,2.14791598427776,"Over 150% of threshold","Over 150% of threshold"
"Zone 38",26.8932763276328,"DOUGLAS",1111,29878.43,5495,133428.61,24.281821656051,20.64,1.30296881432329,"125-150% of threshold","125-150% of threshold"
"Zone 39",23.4453529411765,"DOUGLAS",340,7971.42,5495,133428.61,24.281821656051,20.64,1.1359182626539,"100-125% of threshold","100-125% of threshold"
"Zone 4",33.8083870967742,"EL DORADO",31,1048.06,9968,229275.39,23.0011426565008,19.55,1.72932926326211,"Over 150% of threshold","Over 150% of threshold"
"Zone 40",24.2828824273072,"DOUGLAS",791,19207.76,5495,133428.61,24.281821656051,20.64,1.1764962416331,"100-125% of threshold","100-125% of threshold"
"Zone 41",19.6070506912442,"DOUGLAS",868,17018.92,5495,133428.61,24.281821656051,20.64,0.949954006358732,"75-100% of threshold","75-100% of threshold"
"Zone 42",17.4718990889979,"DOUGLAS",1427,24932.4,5495,133428.61,24.281821656051,20.64,0.846506738808038,"75-100% of threshold","75-100% of threshold"
"Zone 43",4.89555555555556,"DOUGLAS",9,44.06,5495,133428.61,24.281821656051,20.64,0.237187769164513,"Less than 50% of threshold","Less than 50% of threshold"
"Zone 44",NA,"CARSON",0,0,NA,NA,NA,NA,NA,NA,NA
"Zone 45",25.8605147058824,"PLACER",272,7034.06,8829,226852.52,25.6940219730434,21.84,1.18408950118509,"100-125% of threshold","100-125% of threshold"
"Zone 46",30.0434273318872,"PLACER",461,13850.02,8829,226852.52,25.6940219730434,21.84,1.37561480457359,"125-150% of threshold","125-150% of threshold"
"Zone 47",23.4347657657658,"PLACER",1110,26012.59,8829,226852.52,25.6940219730434,21.84,1.07302041052041,"100-125% of threshold","100-125% of threshold"
"Zone 48",26.7728360957643,"PLACER",543,14537.65,8829,226852.52,25.6940219730434,21.84,1.22586245859727,"100-125% of threshold","100-125% of threshold"
"Zone 49",26.633242506812,"PLACER",1835,48872,8829,226852.52,25.6940219730434,21.84,1.21947081075146,"100-125% of threshold","100-125% of threshold"
"Zone 5",Inf,"EL DORADO",0,51.82,9968,229275.39,23.0011426565008,19.55,Inf,"Over 150% of threshold","Over 150% of threshold"
"Zone 50",25.5627962962963,"PLACER",540,13803.91,8829,226852.52,25.6940219730434,21.84,1.17045770587437,"100-125% of threshold","100-125% of threshold"
"Zone 51",19.6671830985915,"PLACER",71,1396.37,8829,226852.52,25.6940219730434,21.84,0.900512046638807,"75-100% of threshold","75-100% of threshold"
"Zone 52",25.272868852459,"PLACER",610,15416.45,8829,226852.52,25.6940219730434,21.84,1.15718263976461,"100-125% of threshold","100-125% of threshold"
"Zone 53",21.1215664556962,"PLACER",1264,26697.66,8829,226852.52,25.6940219730434,21.84,0.967104691194881,"75-100% of threshold","75-100% of threshold"
"Zone 54",32.2204424778761,"PLACER",113,3640.91,8829,226852.52,25.6940219730434,21.84,1.47529498525074,"125-150% of threshold","125-150% of threshold"
"Zone 55",23.997868852459,"PLACER",61,1463.87,8829,226852.52,25.6940219730434,21.84,1.09880351888549,"100-125% of threshold","100-125% of threshold"
"Zone 56",24.4227474747475,"PLACER",495,12089.26,8829,226852.52,25.6940219730434,21.84,1.11825766825767,"100-125% of threshold","100-125% of threshold"
"Zone 57",35.7817142857143,"PLACER",245,8766.52,8829,226852.52,25.6940219730434,21.84,1.63835688121402,"Over 150% of threshold","Over 150% of threshold"
"Zone 58",24.6467724867725,"PLACER",756,18632.96,8829,226852.52,25.6940219730434,21.84,1.12851522375332,"100-125% of threshold","100-125% of threshold"
"Zone 59",38.97,"PLACER",19,740.43,8829,226852.52,25.6940219730434,21.84,1.78434065934066,"Over 150% of threshold","Over 150% of threshold"
"Zone 6",13.5203256445047,"CSLT",737,9964.48,23558,361984.22,15.3656600730113,13.06,1.03524698656239,"100-125% of threshold","100-125% of threshold"
"Zone 60",30.0971794871795,"PLACER",156,4695.16,8829,226852.52,25.6940219730434,21.84,1.37807598384521,"125-150% of threshold","125-150% of threshold"
"Zone 61",30.8350847457627,"PLACER",118,3638.54,8829,226852.52,25.6940219730434,21.84,1.41186285465946,"125-150% of threshold","125-150% of threshold"
"Zone 62",26.3430102622577,"WASHOE",1754,46205.64,9247,224704.15,24.3002216935222,20.66,1.27507310078692,"125-150% of threshold","125-150% of threshold"
"Zone 63",26.4720404040404,"WASHOE",990,26207.32,9247,224704.15,24.3002216935222,20.66,1.28131850939208,"125-150% of threshold","125-150% of threshold"
"Zone 64",28.9554143646409,"WASHOE",724,20963.72,9247,224704.15,24.3002216935222,20.66,1.40152054039888,"125-150% of threshold","125-150% of threshold"
"Zone 65",26.8670041322314,"WASHOE",484,13003.63,9247,224704.15,24.3002216935222,20.66,1.30043582440617,"125-150% of threshold","125-150% of threshold"
"Zone 66",27.8338043478261,"WASHOE",184,5121.42,9247,224704.15,24.3002216935222,20.66,1.34723157540301,"125-150% of threshold","125-150% of threshold"
"Zone 67",23.871589023612,"WASHOE",1567,37406.78,9247,224704.15,24.3002216935222,20.66,1.1554496139212,"100-125% of threshold","100-125% of threshold"
"Zone 68",25.2527972027972,"WASHOE",143,3611.15,9247,224704.15,24.3002216935222,20.66,1.22230383363007,"100-125% of threshold","100-125% of threshold"
"Zone 69",18.1818938835667,"WASHOE",1357,24672.83,9247,224704.15,24.3002216935222,20.66,0.880052946929656,"75-100% of threshold","75-100% of threshold"
"Zone 7",16.4791666666667,"EL DORADO",24,395.5,9968,229275.39,23.0011426565008,19.55,0.842924126172208,"75-100% of threshold","75-100% of threshold"
"Zone 70",23.1783827893175,"WASHOE",1348,31244.46,9247,224704.15,24.3002216935222,20.66,1.12189655320995,"100-125% of threshold","100-125% of threshold"
"Zone 71",24.7292462311558,"WASHOE",597,14763.36,9247,224704.15,24.3002216935222,20.66,1.1969625474906,"100-125% of threshold","100-125% of threshold"
"Zone 72",15.190303030303,"WASHOE",99,1503.84,9247,224704.15,24.3002216935222,20.66,0.73525184076975,"50-75% of threshold","50-75% of threshold"
"Zone 73",20.755,"EL DORADO",6,124.53,9968,229275.39,23.0011426565008,19.55,1.0616368286445,"100-125% of threshold","100-125% of threshold"
"Zone 74",27.9027272727273,"EL DORADO",22,613.86,9968,229275.39,23.0011426565008,19.55,1.42724947686585,"125-150% of threshold","125-150% of threshold"
"Zone 75",31.6307076350093,"DOUGLAS",537,16985.69,5495,133428.61,24.281821656051,20.64,1.532495524952,"Over 150% of threshold","Over 150% of threshold"
"Zone 77",28.9775438596491,"DOUGLAS",57,1651.72,5495,133428.61,24.281821656051,20.64,1.40395076839385,"125-150% of threshold","125-150% of threshold"
"Zone 78",17.025,"EL DORADO",2,34.05,9968,229275.39,23.0011426565008,19.55,0.870843989769821,"75-100% of threshold","75-100% of threshold"
"Zone 79",NA,"EL DORADO",0,0,9968,229275.39,23.0011426565008,19.55,NA,NA,NA
"Zone 8",14.7357921491104,"CSLT",3541,52179.44,23558,361984.22,15.3656600730113,13.06,1.12831486593495,"100-125% of threshold","100-125% of threshold"
"Zone 9",15.8014736842105,"CSLT",760,12009.12,23558,361984.22,15.3656600730113,13.06,1.20991375836222,"100-125% of threshold","100-125% of threshold"
